question,answer
"How can I borrow books from the library?","Use your student ID to borrow books from the library counter."
"How do I get medical assistance on campus?","Visit the Wellness center located between A block and C block."
"How can I pay my semester fees?","Fees can be paid online through the student portal at the beginning of a semester."
"Where do I check my fee dues?","Check your dues in the 'Fees' section of the student portal."
"How can I apply for a scholarship?","You cannot apply for scholarships but you are given one while applying based of your scores in JEE mains SAT or IB exams."
"When will the scholarship results be announced?","Scholarship results are usually announced within two months after application."
"Can I pay my fees in installments?","Yes, installment payment options are available; check with the finance office."
"How do I apply for campus placements?","Register with the Placement Cell through the campus placement portal."
"Where can I find the placement schedule?","Placement schedules are shared via email and on the student portal."
"What companies are visiting this year?","A list of visiting companies is available with the Placement Cell."
"How do I get an internship through the university?","Register on the internship portal or approach the Placement Office."
"Is placement assistance available after graduation?","Yes, placement support is available for up to 1 year after graduation."
"When is the next college fest happening?","The next college fest details will be announced on the events page."
"How can I join a student club or society?","Fill out the club registration form available on the student portal."
"Where can I register for workshops and seminars?","Workshop and seminar registration links are shared via email and on the website."
"How can I participate in sports events?","Register with the sports department or through the student portal."
"Are there any hackathons or coding competitions coming up?","Upcoming hackathons and coding competitions are listed on the Events page."
"Is there a university bus service?","Yes, university buses operate on various routes around the city."
"How can I get a bus pass?","Apply for a bus pass through the transport office or online portal."
"What is the nearest metro station to the university?","Knowledge Park II is the nearest metro station to Bennett University."
"What is the minimum attendance requirement?","A minimum of 75% attendance is required to sit for exams."
"What are the anti-ragging measures in place?","Strict anti-ragging policies are enforced; violations lead to severe penalties."
"What is the dress code on campus?","Casuals are allowed but students must dress appropriately for academic settings."
"How can I access mental health counseling?","Contact the campus counseling center for appointments."
"Who do I contact for technical issues with online classes?","Reach out to the IT Helpdesk or email the technical support team."
"Is there academic support for weak students?","Yes, remedial classes and tutoring sessions are available for students."
"How can I give feedback or complain about an issue?","Use the feedback form available on the student portal or email the administration."
